Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606185120,137.110.0.70,443,192.168.1.204,62835,17,4050,12941,8,18,1606185120036;1606185120036;1606185120114;1606185120139;1606185120708;1606185120768;1606185120768;1606185120769;1606185120769;1606185120769;1606185120769;1606185120769;1606185120769;1606185120769;1606185120769;1606185120830;1606185120831;1606185120831;1606185120831;1606185120884;1606185120906;1606185120906;1606185120906;1606185120906;1606185120906;1606185120907;,191;138;126;138;174;174;339;1366;118;1366;565;1366;1366;565;1366;138;1366;1366;940;138;1366;1366;539;138;138;138;,1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;2;
1606185121,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1606185121979;,96;,1;
1606185122,192.168.1.240,5353,224.0.0.251,5353,17,143,0,1,0,1606185122491;,143;,1;
1606185122,FE80::426:B589:EABF:4EE,5353,FF02::FB,5353,17,163,0,1,0,1606185122491;,163;,1;
